calibration_file,calibration\config.csv
start_time,2023-03-15T19:56:38.822702-0700

Thrust,Torque,Time,Thrust_raw,Torque_raw,Time_raw
0.0046931,7.86e-06,3.966,-55,3,3966
0.0060971,-0.00017292,4.066,-25,-66,4066
0.0050207,-0.00025676,4.166,-48,-98,4166
0.0031955000000000004,-0.00014934,4.266,-87,-57,4266
0.005488700000000001,-2.882e-05,4.366,-38,-11,4366
0.0030551000000000007,-7.86e-05,4.466,-90,-30,4466
0.0035699000000000004,-4.192e-05,4.566,-79,-16,4566
0.0060503,-4.7159999999999996e-05,4.666,-26,-18,4666
0.0055355000000000005,-0.0001965,4.766,-37,-75,4766
0.0040379000000000005,-0.00029082,4.866,-69,-111,4866
0.0036167000000000005,-0.00020436,4.966,-78,-78,4966
0.0062375,2.62e-05,5.066,-22,10,5066
0.004225100000000001,0.0,5.166,-65,0,5166
0.005629100000000001,-0.00010218,5.266,-35,-39,5266
0.0064715,2.62e-05,5.3660000000000005,-17,10,5366
0.005722700000000001,4.978e-05,5.466,-33,19,5466
0.004880300000000001,-0.00012314,5.566,-51,-47,5566
-0.013324899999999999,-0.00114232,5.666,-440,-436,5666
-0.0664897,0.0031964,5.766,-1576,1220,5766
-0.0975181,0.01381788,5.8660000000000005,-2239,5274,5866
-0.1004665,0.0015300799999999999,5.966,-2302,584,5966
-0.0449617,-0.0451164,6.066,-1116,-17220,6066
0.0838319,-0.05220088,6.166,1636,-19924,6166
0.3319655,-0.04662552,6.266,6938,-17796,6266
0.6896110999999999,-0.03999692,6.3660000000000005,14580,-15266,6366
0.9668542999999999,-0.05042452,6.466,20504,-19246,6466
1.0426235,-0.05224018,6.566,22123,-19939,6566
1.0297067,-0.0522035,6.666,21847,-19925,6666
1.0453847,-0.05235284,6.766,22182,-19982,6766
1.1579855,-0.05240524,6.8660000000000005,24588,-20002,6866
1.3235639,-0.052470739999999995,6.966,28126,-20027,6966
1.3347023,-0.052135379999999995,7.066,28364,-19899,7066
1.2657658999999999,-0.03127232,7.166,26891,-11936,7166
1.1146955,0.0029134399999999998,7.266,23663,1112,7266
1.0286771,0.00938746,7.3660000000000005,21825,3583,7366
1.0127183,0.022788759999999998,7.466,21484,8698,7466
0.9223007,0.045931219999999995,7.566,19552,17531,7566
0.4814447,0.09853819999999999,7.666,10132,37610,7666
0.1771511,0.08134052,7.766,3630,31046,7766
0.1959179,0.062164739999999996,7.8660000000000005,4031,23727,7866
0.2448707,0.08881275999999999,7.966,5077,33898,7966
0.2558219,0.18055468,8.066,5311,68914,8066
0.2510015,0.22489818,8.166,5208,85839,8166
0.2339195,0.25739142,8.266,4843,98241,8266
0.2093963,0.2824491,8.366,4319,107805,8366
0.1672295,0.30698802,8.466,3418,117171,8466
0.15253429999999998,0.31576502,8.566,3104,120521,8566
0.1420043,0.31671869999999996,8.666,2879,120885,8666
0.1299767,0.33291815999999996,8.766,2622,127068,8766
0.1322699,0.33588399999999996,8.866,2671,128200,8866
0.1340483,0.31934394,8.966,2709,121887,8966
0.1521599,0.24668347999999998,9.066,3096,94154,9066
0.1665743,0.11916808,9.166,3404,45484,9166
0.2227343,0.01812778,9.266,4604,6919,9266
0.25114190000000003,-0.02333896,9.366,5211,-8908,9366
0.2257295,-0.00952894,9.466000000000001,4668,-3637,9466
0.08322349999999999,-0.023886539999999998,9.566,1623,-9117,9566
-0.0780493,-0.021064799999999998,9.666,-1823,-8040,9666
-0.1029937,-0.0139908,9.766,-2356,-5340,9766
0.0195287,-0.0421034,9.866,262,-16070,9866
0.34567790000000004,-0.04271124,9.966000000000001,7231,-16302,9966
0.33262070000000005,-0.01742562,10.066,6952,-6651,10066
0.2164163,-0.00739626,10.166,4469,-2823,10166
0.2022359,-0.04026154,10.266,4166,-15367,10266
0.2063075,-0.03451588,10.366,4253,-13174,10366
6.0694115,-0.02396514,10.466000000000001,129533,-9147,10466
0.19498189999999999,-0.02334158,10.643,4011,-8909,10643
0.17841469999999998,-0.01633832,10.743,3657,-6236,10743
0.1632047,-0.00461382,10.843,3332,-1761,10843
0.1553423,-0.0017239599999999999,10.943,3164,-658,10943
0.1525811,-0.00170562,11.043000000000001,3105,-651,11043
0.1518323,-0.00176064,11.143,3089,-672,11143
0.1513643,-0.0017292,11.243,3079,-660,11243
0.1505687,-0.00162178,11.343,3062,-619,11343
0.1492115,-0.0016715599999999999,11.443,3033,-638,11443
0.1468247,-0.0017553999999999998,11.543000000000001,2982,-670,11543
0.1461227,-0.0017684999999999999,11.643,2967,-675,11643
