calibration_file,calibration\config.csv
start_time,2023-03-15T19:42:06.191962-0700

Thrust,Torque,Time,Thrust_raw,Torque_raw,Time_raw
-0.0362101,-0.0400729,134.154,-929,-15295,134154
-0.0387373,-0.040065039999999996,134.254,-983,-15292,134254
-0.0411709,-0.04010696,134.354,-1035,-15308,134354
-0.0415453,-0.03995762,134.454,-1043,-15251,134454
-0.0396265,-0.039962859999999996,134.554,-1002,-15253,134554
-0.0376141,-0.0400205,134.654,-959,-15275,134654
-0.0363973,-0.03999692,134.754,-933,-15266,134754
-0.0397669,-0.04020914,134.854,-1005,-15347,134854
-0.0359293,-0.04012006,134.954,-923,-15313,134954
-0.0397669,-0.040135779999999996,135.054,-1005,-15319,135054
-0.0401413,-0.04025106,135.154,-1013,-15363,135154
-0.0384097,-0.04006242,135.254,-976,-15291,135254
-0.0401413,-0.04000478,135.354,-1013,-15269,135354
-0.0395329,-0.04006242,135.454,-1000,-15291,135454
-0.039392500000000004,-0.040104339999999995,135.554,-997,-15307,135554
-0.0371461,-0.04007814,135.654,-949,-15297,135654
-0.0367249,-0.04004146,135.754,-940,-15283,135754
-0.0363973,-0.0399288,135.854,-933,-15240,135854
-0.0370057,-0.039892119999999996,135.954,-946,-15226,135954
-0.0395329,-0.039983819999999996,136.054,-1000,-15261,136054
-0.0395797,-0.03994452,136.154,-1001,-15246,136154
-0.0370057,-0.03994714,136.254,-946,-15247,136254
-0.0378481,-0.03994714,136.354,-964,-15247,136354
-0.0372865,-0.04004146,136.454,-952,-15283,136454
-0.0371929,-0.039952379999999996,136.554,-950,-15249,136554
-0.0384565,-0.0399157,136.654,-977,-15235,136654
-0.0399541,-0.039955,136.754,-1009,-15250,136754
-0.0343849,-0.0399288,136.854,-890,-15240,136854
0.0423203,-0.03999954,136.954,749,-15267,136954
0.0212135,-0.039973339999999996,137.054,298,-15257,137054
0.5677907,-0.040054559999999996,137.154,11977,-15288,137154
1.0290047,-0.04008076,137.254,21832,-15298,137254
1.8133727,-0.04004146,137.354,38592,-15283,137354
2.9719067,-0.04015936,137.454,63347,-15328,137454
3.6988510999999997,-0.04005718,137.554,78880,-15289,137554
4.2386891,-0.03997072,137.654,90415,-15256,137654
5.4411683,-0.03997596,137.754,116109,-15258,137754
6.1649771,-0.040054559999999996,137.854,131575,-15288,137854
6.8255123,-0.0400205,137.954,145689,-15275,137954
7.458014299999999,-0.04018294,138.054,159204,-15337,138054
8.1227615,-0.04003622,138.154,173408,-15281,138154
8.7534383,-0.04008076,138.254,186884,-15298,138254
9.0606803,-0.04005718,138.354,193449,-15289,138354
9.3009047,-0.03988688,138.454,198582,-15224,138454
9.3768611,-0.03996024,138.554,200205,-15252,138554
9.4781363,-0.03993404,138.654,202369,-15242,138654
9.7071287,-0.03994714,138.754,207262,-15247,138754
10.084898299999999,-0.03993404,138.854,215334,-15242,138854
10.4330435,-0.040044079999999996,138.954,222773,-15284,138954
9.3602939,-0.0400598,139.054,199851,-15290,139054
6.5894999,-0.040054559999999996,139.154,140646,-15288,139154
2.9386787,-0.0399681,139.254,62637,-15255,139254
1.3564175,-0.0398895,139.354,28828,-15225,139354
-0.1559245,-0.03997596,139.454,-3487,-15258,139454
-0.9190453000000001,-0.03997596,139.554,-19793,-15258,139554
-1.0092289,-0.03999954,139.654,-21720,-15267,139654
-1.0078249,-0.04006242,139.754,-21690,-15291,139754
-1.0007113,-0.040156739999999996,139.854,-21538,-15327,139854
-0.5814301000000001,-0.04015412,139.954,-12579,-15326,139954
-0.12297730000000001,-0.03998906,140.054,-2783,-15263,140054
0.12436069999999999,-0.039850199999999995,140.154,2502,-15210,140154
0.1791635,-0.04001788,140.254,3673,-15274,140254
0.2064011,-0.04012268,140.354,4255,-15314,140354
0.19353109999999998,-0.03997596,140.454,3980,-15258,140454
-0.1950493,-0.0399157,140.554,-4323,-15235,140554
-0.9968737000000001,-0.03982662,140.654,-21456,-15201,140654
-1.0078717,-0.0187592,140.754,-21691,-7160,140754
-1.0106329,0.02167526,140.854,-21750,8273,140854
-1.0092757,0.038050259999999995,140.954,-21721,14523,140954
-1.0067485,0.04456096,141.054,-21667,17008,141054
-1.0069825000000001,0.05170046,141.154,-21672,19733,141154
-1.0103989,0.06711654,141.254,-21745,25617,141254
-1.0118497,0.09397153999999999,141.354,-21776,35867,141354
-1.0094161,0.12027109999999999,141.454,-21724,45905,141454
-1.0063741,0.14638463999999998,141.554,-21659,55872,141554
-1.0074973,0.15995099999999998,141.654,-21683,61050,141654
-1.0095565,0.12777739999999999,141.754,-21727,48770,141754
-1.0106329,0.0411995,141.854,-21750,15725,141854
-1.0113349,-0.01068174,141.954,-21765,-4077,141954
-1.0109137,-0.03147668,142.054,-21756,-12014,142054
-0.8028877,-0.039444099999999996,142.154,-17311,-15055,142154
-0.9514777,-0.04000478,142.254,-20486,-15269,142254
-0.7227193000000001,-0.03998906,142.354,-15598,-15263,142354
-0.6288385,-0.04015412,142.454,-13592,-15326,142454
-0.9427729,-0.0401908,142.554,-20300,-15340,142554
-0.9969673000000001,-0.04007814,142.654,-21458,-15297,142654
-0.9983245000000001,-0.03987902,142.754,-21487,-15221,142754
-1.0045489,-0.03972444,142.854,-21620,-15162,142854
-0.7955869,-0.03742932,142.954,-17155,-14286,142954
-0.2380585,-0.03744766,143.054,-5242,-14293,143054
-0.0323725,-0.037665119999999996,143.154,-847,-14376,143154
-0.0186133,-0.03746862,143.254,-553,-14301,143254
-0.013933300000000001,-0.03743194,143.354,-453,-14287,143354
-0.015103299999999998,-0.03741622,143.454,-478,-14281,143454
-0.0176305,-0.03754984,143.554,-532,-14332,143554
-0.0169753,-0.03759176,143.654,-518,-14348,143654
-0.016226499999999998,-0.037541979999999996,143.754,-502,-14329,143754
-0.0177241,-0.037521019999999995,143.854,-534,-14321,143854
-0.018847299999999997,-0.03770966,143.954,-558,-14393,143954
-0.016179699999999998,-0.03775158,144.054,-501,-14409,144054
-0.016226499999999998,-0.037623199999999996,144.154,-502,-14360,144154
-0.016366899999999997,-0.0374791,144.254,-505,-14305,144254
-0.0168817,-0.03743718,144.354,-516,-14289,144354
-0.016226499999999998,-0.03743718,144.454,-502,-14289,144454
-0.017396500000000002,-0.037466,144.554,-527,-14300,144554
-0.0178645,-0.03734286,144.654,-537,-14253,144654
-0.0186601,-0.03735072,144.754,-554,-14256,144754
-0.0186133,-0.03756556,144.854,-553,-14338,144854
-0.0176773,-0.03757866,144.954,-533,-14343,144954
-0.0187069,-0.037466,145.054,-555,-14300,145054
-0.0192685,-0.03753412,145.154,-567,-14326,145154
-0.019689699999999997,-0.03751054,145.254,-576,-14317,145254
