calibration_file,calibration\config.csv
start_time,2023-03-15T19:42:22.300495-0700

Thrust,Torque,Time,Thrust_raw,Torque_raw,Time_raw
0.0037571,-4.192e-05,1.554,-75,-16,1554
0.0038039000000000002,-9.956e-05,1.655,-74,-38,1655
0.0092327,-9.169999999999999e-05,1.756,42,-35,1756
0.0080159,8.908e-05,1.857,16,34,1857
0.0053483,0.00017554,1.958,-41,67,1958
0.0061907,0.00016506,2.059,-23,63,2059
0.0064247,0.00028296,2.16,-18,108,2160
0.0049739,-0.00011528,2.261,-49,-44,2261
0.0053483,-5.24e-06,2.362,-41,-2,2362
0.0057695,0.00017816,2.463,-32,68,2463
0.0055823,0.00025152,2.564,-36,96,2564
0.0034295000000000003,0.00023318,2.665,-82,89,2665
0.0169079,7.86e-06,2.766,206,3,2766
0.0319775,-0.00028558,2.867,528,-109,2867
0.0324923,-0.00069168,2.968,539,-264,2968
0.026314700000000003,-0.00063404,3.069,407,-242,3069
0.048638299999999995,-0.0006471399999999999,3.17,884,-247,3170
0.1367627,-0.00070478,3.271,2767,-269,3271
0.0894479,-0.0005371,3.372,1756,-205,3372
0.043396699999999996,-0.0005633,3.473,772,-215,3473
0.2213771,-0.00071264,3.5740000000000003,4575,-272,3574
0.18833629999999998,-0.00158248,3.6750000000000003,3869,-604,3675
0.1025987,-0.00171086,3.7760000000000002,2037,-653,3776
-0.5659393,-0.000393,3.8770000000000002,-12248,-150,3877
-0.9386077,0.01519338,3.978,-20211,5799,3978
-0.9776857,0.0654083,4.079,-21046,24965,4079
-0.9758605,0.1174677,4.18,-21007,44835,4180
-0.9746905,0.13165237999999999,4.281,-20982,50249,4281
-0.9754393,0.18675883999999998,4.382,-20998,71282,4382
-0.9757669,0.21171695999999998,4.483,-21005,80808,4483
-0.9761413,0.22106773999999998,4.5840000000000005,-21013,84377,4584
-0.9759073,0.24385388,4.6850000000000005,-21008,93074,4685
-0.9749713,0.27549824,4.7860000000000005,-20988,105152,4786
-0.9769837,0.29652636,4.8870000000000005,-21031,113178,4887
-0.9788089,0.30213577999999996,4.988,-21070,115319,4988
